Age,Budget,Interet,Duree,Climat,Destination
37,2408,Plage,6,Froid,Rio de Janeiro
33,1415,Megalopole,3,Chaud,Iles Galapagos
56,4044,Aventure,6,Froid,Tokyo
43,3743,Megalopole,15,Chaud,Barcelone
58,2267,Ile,6,Tempéré,Bali
50,3191,Culture,13,Chaud,Bangkok
37,2233,Nature,5,Froid,Londres
29,2046,Aventure,8,Froid,Los Angeles
36,2378,Historique,6,Froid,Rome
18,915,Nature,6,Froid,Le Caire
48,2562,Megalopole,6,Tempéré,Bangkok
44,3089,Nature,3,Tempéré,Buenos Aires
42,3413,Culture,4,Chaud,Sydney
32,1810,Historique,8,Tempéré,Londres
28,1851,Historique,4,Froid,Patagonie
23,772,Nature,8,Tempéré,Patagonie
57,3855,Nature,9,Chaud,Amazonie
20,780,Culture,7,Chaud,Bangkok
40,1715,Ile,17,Tempéré,Bali
47,3632,Nature,9,Froid,Vancouver
36,2052,Culture,15,Froid,Barcelone
28,1997,Plage,4,Chaud,Rio de Janeiro
49,4482,Plage,6,Tempéré,Patagonie
22,507,Nature,4,Tempéré,Le Caire
41,3438,Culture,13,Chaud,Sydney
18,831,Ile,4,Chaud,Prague
35,2178,Plage,7,Froid,Rio de Janeiro
43,1011,Aventure,7,Tempéré,Buenos Aires
43,4311,Megalopole,4,Tempéré,Los Angeles
67,7897,Aventure,6,Froid,Patagonie
45,3063,Megalopole,7,Tempéré,Sydney
32,2901,Culture,3,Chaud,Amsterdam
37,1896,Megalopole,3,Chaud,Dubai
33,2618,Megalopole,3,Froid,New York
18,903,Aventure,7,Chaud,Sydney
40,1035,Plage,8,Froid,Cancun
36,3032,Plage,8,Chaud,Rome
39,3183,Ile,5,Chaud,Iles Galapagos
33,3206,Culture,7,Tempéré,Marrakech
33,509,Aventure,5,Froid,Londres
35,707,Nature,3,Tempéré,Paris
57,1047,Nature,6,Chaud,Marrakech
23,500,Megalopole,6,Froid,New York
37,707,Megalopole,5,Chaud,Bangkok
47,4189,Plage,4,Chaud,New York
21,1413,Culture,3,Tempéré,Amsterdam
53,2330,Historique,3,Chaud,Santorin
31,2185,Historique,9,Chaud,Machu Picchu
42,4036,Plage,4,Chaud,Rome
32,3197,Nature,7,Froid,Iles Galapagos
18,1697,Megalopole,4,Chaud,Dubai
18,1402,Culture,6,Tempéré,New York
44,4955,Aventure,3,Chaud,Iles Galapagos
26,1299,Aventure,6,Froid,Queenstown
33,2587,Aventure,9,Tempéré,Patagonie
57,6618,Nature,10,Froid,Bangkok
61,5742,Megalopole,9,Froid,Dubai
51,4639,Megalopole,5,Froid,Vancouver
52,1293,Culture,8,Chaud,Londres
36,1994,Historique,15,Chaud,Bali
39,2020,Ile,6,Chaud,Le Cap
37,1835,Historique,12,Chaud,Le Caire
28,1784,Aventure,8,Tempéré,Cancun
26,2302,Aventure,5,Froid,Santorin
26,2455,Historique,9,Chaud,Machu Picchu
45,2253,Plage,5,Tempéré,Tokyo
33,1622,Historique,4,Froid,Queenstown
22,1675,Megalopole,5,Tempéré,Bangkok
59,2836,Historique,5,Froid,Prague
44,3882,Nature,6,Chaud,Vancouver
48,552,Aventure,10,Froid,Londres
36,3394,Historique,6,Chaud,Prague
53,1698,Ile,6,Froid,Rome
43,2421,Ile,25,Chaud,Rio de Janeiro
42,1112,Culture,7,Tempéré,Machu Picchu
19,1770,Nature,4,Tempéré,Iles Galapagos
31,2710,Ile,6,Tempéré,Santorin
33,1951,Plage,7,Froid,Cancun
42,4320,Ile,4,Chaud,Rio de Janeiro
38,2894,Ile,8,Chaud,Zanzibar
51,1352,Plage,10,Tempéré,Cancun
36,1110,Culture,7,Chaud,Rome
46,1680,Historique,7,Tempéré,Barcelone
53,1910,Plage,11,Chaud,Iles Galapagos
18,1872,Aventure,3,Froid,Machu Picchu
21,1239,Culture,14,Chaud,Le Caire
19,792,Aventure,9,Tempéré,Queenstown
23,1155,Aventure,3,Tempéré,Kyoto
39,500,Megalopole,12,Chaud,Cancun
52,3103,Aventure,10,Chaud,Londres
28,2342,Nature,25,Chaud,Los Angeles
39,2208,Ile,11,Froid,Bora Bora
39,2140,Ile,13,Chaud,Rome
31,2114,Culture,11,Froid,Kyoto
44,1630,Nature,17,Chaud,Marrakech
31,1435,Historique,23,Chaud,Le Caire
26,1527,Megalopole,3,Froid,Tokyo
25,737,Plage,7,Tempéré,Tokyo
41,2822,Aventure,4,Froid,Queenstown
32,2473,Nature,6,Tempéré,Zanzibar
49,2388,Ile,6,Tempéré,Bali
41,4958,Ile,4,Chaud,Santorin
35,3016,Aventure,6,Chaud,Dubai
37,4015,Plage,4,Tempéré,Kyoto
27,1575,Aventure,3,Froid,Patagonie
57,4095,Culture,8,Chaud,Rome
38,1811,Plage,9,Tempéré,Sydney
18,861,Plage,13,Chaud,Rome
53,1838,Historique,14,Froid,Machu Picchu
30,3818,Ile,13,Froid,Bangkok
38,2271,Culture,6,Tempéré,Bangkok
51,4055,Historique,3,Froid,Machu Picchu
45,2042,Culture,3,Froid,Amsterdam
27,2847,Ile,4,Chaud,Bangkok
35,2122,Ile,3,Chaud,Bora Bora
55,1665,Historique,14,Tempéré,Le Caire
32,731,Ile,5,Chaud,Barcelone
26,1799,Aventure,10,Chaud,Bora Bora
59,3931,Nature,9,Tempéré,New York
33,1225,Nature,10,Tempéré,Zanzibar
39,2209,Plage,6,Froid,Machu Picchu
34,3072,Aventure,24,Froid,Vancouver
20,1878,Aventure,4,Chaud,Bangkok
36,1690,Plage,21,Tempéré,Barcelone
32,1841,Aventure,15,Tempéré,Patagonie
56,5561,Plage,4,Chaud,Iles Galapagos
44,3788,Nature,7,Froid,Iles Galapagos
28,2655,Megalopole,12,Froid,Dubai
27,1787,Aventure,6,Tempéré,Buenos Aires
43,602,Culture,5,Froid,Amsterdam
25,1523,Historique,7,Froid,Londres
24,2445,Plage,5,Froid,Dubai
47,3552,Nature,12,Froid,Amazonie
48,4385,Historique,7,Tempéré,Kyoto
47,2564,Nature,3,Chaud,Vancouver
34,1863,Historique,7,Froid,Zanzibar
47,2654,Ile,8,Chaud,Patagonie
33,2166,Megalopole,9,Chaud,Los Angeles
55,2456,Plage,4,Froid,Queenstown
45,2739,Historique,6,Chaud,Prague
22,1026,Megalopole,3,Froid,Rio de Janeiro
39,1930,Culture,6,Froid,Paris
35,2674,Historique,6,Tempéré,Tokyo
41,1524,Historique,9,Chaud,Dubai
37,2623,Nature,8,Chaud,Vancouver
26,611,Megalopole,5,Tempéré,Barcelone
32,2224,Nature,3,Tempéré,Iles Galapagos
40,2361,Plage,6,Tempéré,Barcelone
30,1655,Ile,17,Chaud,Cancun
18,901,Culture,10,Tempéré,Amsterdam
49,2539,Megalopole,12,Froid,Bangkok
48,2977,Culture,10,Chaud,Marrakech
32,1805,Historique,6,Chaud,Rio de Janeiro
33,2946,Megalopole,8,Tempéré,Buenos Aires
50,1255,Ile,13,Chaud,Zanzibar
24,500,Megalopole,13,Froid,Prague
43,2044,Culture,5,Chaud,Londres
47,5203,Culture,4,Froid,Marrakech
27,1820,Nature,6,Froid,Le Cap
40,1777,Nature,27,Tempéré,Le Cap
19,1035,Plage,6,Chaud,Zanzibar
50,3542,Plage,8,Chaud,Cancun
23,1796,Nature,6,Tempéré,Iles Galapagos
42,3055,Megalopole,3,Froid,Sydney
52,3187,Megalopole,14,Tempéré,Bangkok
66,1615,Ile,11,Tempéré,Bora Bora
29,1862,Historique,4,Froid,Bangkok
34,996,Ile,3,Froid,Le Cap
61,5287,Culture,6,Tempéré,Santorin
48,1838,Aventure,9,Tempéré,New York
37,3992,Ile,7,Tempéré,Bali
65,2352,Aventure,4,Tempéré,Paris
63,2852,Nature,7,Tempéré,Iles Galapagos
41,688,Megalopole,18,Froid,Tokyo
30,3403,Megalopole,7,Chaud,Bangkok
19,994,Aventure,4,Froid,Prague
37,903,Ile,9,Froid,Zanzibar
19,500,Culture,9,Chaud,Buenos Aires
28,1559,Nature,5,Tempéré,Buenos Aires
40,2707,Aventure,16,Chaud,Bangkok
24,1031,Nature,7,Tempéré,Paris
26,831,Ile,9,Froid,Vancouver
38,2275,Aventure,5,Chaud,Rome
21,2606,Plage,10,Tempéré,Buenos Aires
44,2304,Plage,7,Chaud,Zanzibar
40,3475,Culture,4,Tempéré,New York
32,2258,Culture,3,Chaud,Marrakech
22,2064,Culture,7,Tempéré,Londres
18,1206,Ile,7,Froid,Prague
51,2724,Plage,9,Chaud,Le Caire
40,2058,Aventure,7,Froid,Patagonie
49,2320,Aventure,4,Froid,Patagonie
43,3363,Historique,8,Chaud,Los Angeles
27,2017,Ile,7,Froid,Machu Picchu
42,3426,Historique,8,Froid,Marrakech
36,2019,Plage,18,Froid,Prague
18,1161,Megalopole,3,Chaud,Sydney
40,2904,Plage,5,Tempéré,Patagonie
26,2403,Megalopole,8,Tempéré,Los Angeles
26,1571,Historique,7,Tempéré,Kyoto
29,1749,Historique,4,Tempéré,Sydney
31,2057,Culture,4,Froid,Amsterdam
45,4812,Megalopole,10,Tempéré,Tokyo
51,3168,Nature,11,Tempéré,Le Cap
49,1808,Megalopole,3,Tempéré,New York
38,3683,Megalopole,4,Froid,Machu Picchu
18,1105,Nature,8,Chaud,Marrakech
47,3941,Aventure,4,Tempéré,Vancouver
30,1837,Aventure,8,Froid,Iles Galapagos
30,1631,Nature,6,Tempéré,Vancouver
54,3828,Historique,4,Chaud,Rome
40,2572,Historique,8,Tempéré,Patagonie
22,1093,Nature,16,Froid,Le Caire
40,2676,Aventure,4,Chaud,Sydney
49,2725,Plage,9,Froid,Rome
32,1263,Aventure,5,Chaud,Amazonie
47,4516,Plage,5,Chaud,Cancun
44,2082,Historique,3,Froid,New York
42,2588,Aventure,6,Froid,Patagonie
38,2384,Culture,3,Froid,Londres
32,2986,Nature,3,Chaud,Le Cap
54,2109,Historique,10,Chaud,Marrakech
26,1069,Historique,8,Froid,Rome
30,1869,Nature,8,Tempéré,Le Cap
29,500,Ile,11,Tempéré,Buenos Aires
42,1155,Historique,6,Froid,Kyoto
72,3108,Historique,5,Chaud,Zanzibar
29,1972,Ile,12,Tempéré,Santorin
39,2128,Megalopole,7,Froid,Patagonie
26,1140,Plage,3,Tempéré,Barcelone
32,3596,Aventure,6,Tempéré,Patagonie
34,2112,Megalopole,6,Chaud,Rio de Janeiro
29,1276,Nature,14,Froid,Amsterdam
53,3071,Plage,6,Froid,Machu Picchu
26,1834,Ile,6,Froid,Londres
51,3202,Ile,4,Froid,Londres
52,2280,Nature,8,Froid,Amazonie
38,2936,Culture,8,Froid,Los Angeles
52,4224,Ile,5,Tempéré,Santorin
26,1805,Megalopole,7,Tempéré,Bangkok
29,1893,Ile,7,Froid,Le Cap
38,2747,Plage,8,Froid,Bora Bora
39,2173,Culture,6,Froid,Marrakech
22,1248,Culture,7,Chaud,Marrakech
37,2052,Plage,14,Froid,Vancouver
35,2301,Plage,3,Chaud,Cancun
41,3393,Aventure,3,Chaud,Buenos Aires
47,2615,Ile,3,Tempéré,New York
19,1405,Megalopole,5,Chaud,New York
34,3086,Ile,11,Tempéré,Buenos Aires
44,967,Nature,5,Froid,Amazonie
27,500,Culture,13,Chaud,Buenos Aires
41,4740,Ile,3,Tempéré,Bora Bora
46,2040,Ile,3,Froid,Vancouver
40,835,Ile,9,Chaud,Santorin
58,1108,Plage,10,Tempéré,Machu Picchu
39,2148,Ile,6,Chaud,Barcelone
37,2818,Culture,13,Froid,Amsterdam
26,1268,Historique,5,Chaud,Barcelone
42,3496,Historique,9,Tempéré,Kyoto
42,3383,Culture,14,Tempéré,Amsterdam
47,2678,Megalopole,4,Chaud,Dubai
46,2640,Historique,10,Tempéré,New York
34,1458,Megalopole,4,Froid,Machu Picchu
51,5573,Culture,11,Tempéré,Londres
58,5325,Megalopole,3,Froid,Sydney
39,3963,Ile,4,Froid,Paris
38,3073,Plage,8,Froid,Dubai
51,3445,Culture,3,Chaud,Los Angeles
22,1064,Nature,13,Chaud,Le Cap
30,2476,Megalopole,8,Chaud,Le Cap
50,5468,Megalopole,18,Tempéré,Buenos Aires
38,2860,Culture,17,Chaud,Amsterdam
67,2079,Nature,7,Chaud,Los Angeles
33,1281,Historique,5,Tempéré,New York
18,1138,Megalopole,8,Chaud,Rome
39,3631,Ile,13,Froid,Vancouver
32,734,Nature,10,Tempéré,Amazonie
48,2095,Culture,4,Chaud,Buenos Aires
22,668,Nature,8,Froid,Le Cap
21,809,Aventure,8,Chaud,Paris
42,3460,Megalopole,6,Chaud,Los Angeles
42,3330,Nature,5,Chaud,Los Angeles
40,2570,Culture,7,Froid,Londres
38,3688,Historique,9,Chaud,Rome
36,2759,Culture,8,Chaud,Bali
66,6914,Aventure,13,Tempéré,Vancouver
43,2914,Historique,4,Chaud,Patagonie
47,3419,Aventure,13,Tempéré,Rio de Janeiro
42,1080,Ile,3,Chaud,Santorin
26,1534,Ile,7,Chaud,Marrakech
28,3240,Plage,6,Froid,Barcelone
28,1378,Megalopole,15,Chaud,Bali
46,2854,Historique,4,Chaud,Rome
39,2472,Megalopole,6,Tempéré,Paris
55,4371,Megalopole,26,Froid,Sydney
53,4818,Megalopole,5,Froid,Sydney
30,2310,Nature,8,Froid,Vancouver
44,3942,Aventure,4,Chaud,Iles Galapagos
18,1135,Ile,9,Chaud,Bora Bora
36,1665,Ile,5,Chaud,Queenstown
37,2570,Nature,5,Froid,Buenos Aires
34,2446,Historique,4,Tempéré,Prague
25,500,Nature,6,Tempéré,Vancouver
39,2852,Nature,9,Tempéré,Le Cap
29,2147,Megalopole,13,Tempéré,Tokyo
22,615,Nature,19,Tempéré,New York
31,1687,Plage,10,Froid,Kyoto
55,5216,Megalopole,3,Tempéré,New York
50,3513,Culture,4,Chaud,Londres
43,849,Aventure,6,Froid,Patagonie
51,3568,Nature,6,Chaud,Patagonie
41,500,Culture,12,Tempéré,Rome
30,968,Historique,10,Chaud,Amazonie
55,1868,Aventure,11,Froid,Marrakech
36,2062,Aventure,14,Tempéré,Queenstown
23,2864,Megalopole,10,Froid,Dubai
23,1241,Plage,6,Tempéré,New York
49,1920,Plage,8,Chaud,Sydney
19,2081,Ile,6,Tempéré,Zanzibar
47,2736,Historique,18,Tempéré,Londres
36,1481,Plage,4,Chaud,Cancun
18,1018,Ile,15,Tempéré,Bali
18,1276,Culture,12,Chaud,Le Cap
69,3589,Megalopole,5,Tempéré,Sydney
23,1762,Culture,20,Tempéré,Amsterdam
31,2437,Historique,20,Chaud,Machu Picchu
34,1949,Aventure,5,Chaud,Dubai
30,1414,Historique,9,Chaud,Le Caire
41,2384,Nature,4,Chaud,Le Cap
31,2026,Ile,7,Tempéré,Kyoto
35,3637,Culture,19,Tempéré,Marrakech
27,2917,Aventure,10,Tempéré,Tokyo
32,1686,Aventure,16,Chaud,Le Cap
31,2903,Nature,3,Tempéré,Amazonie
18,1473,Ile,10,Tempéré,Paris
49,3892,Plage,7,Froid,Cancun
18,1466,Culture,10,Chaud,Barcelone
23,1147,Culture,6,Tempéré,Barcelone
18,1211,Culture,5,Chaud,Bora Bora
39,1160,Ile,9,Tempéré,Marrakech
27,1963,Nature,23,Chaud,Cancun
35,4069,Aventure,6,Chaud,Prague
52,3450,Historique,10,Froid,Rome
46,3741,Culture,3,Tempéré,New York
46,4616,Culture,15,Chaud,Paris
18,1009,Historique,14,Tempéré,Tokyo
44,2018,Nature,8,Froid,Vancouver
25,500,Culture,15,Chaud,Marrakech
19,1224,Nature,4,Tempéré,Zanzibar
48,2581,Plage,15,Tempéré,Londres
62,3173,Ile,5,Chaud,Marrakech
28,599,Historique,3,Chaud,Cancun
57,2418,Culture,4,Tempéré,Buenos Aires
26,1659,Plage,4,Chaud,Cancun
44,2979,Aventure,3,Chaud,Patagonie
40,3028,Ile,18,Chaud,Iles Galapagos
65,4270,Historique,7,Froid,Dubai
38,500,Plage,13,Tempéré,Prague
52,2914,Historique,8,Froid,Rome
38,2787,Nature,7,Tempéré,Le Caire
57,3972,Megalopole,6,Tempéré,New York
41,1832,Megalopole,15,Tempéré,Los Angeles
39,2585,Plage,9,Chaud,Londres
38,2554,Ile,4,Chaud,Rio de Janeiro
34,2700,Culture,7,Froid,Marrakech
45,3094,Plage,19,Froid,Paris
51,4324,Plage,17,Froid,Prague
48,3594,Nature,15,Froid,Bangkok
54,3439,Ile,13,Chaud,Cancun
25,1224,Ile,10,Froid,Patagonie
42,3712,Historique,6,Tempéré,Barcelone
22,1015,Nature,3,Chaud,Vancouver
22,1324,Aventure,5,Tempéré,Dubai
41,2442,Ile,5,Froid,Los Angeles
42,2571,Historique,8,Chaud,Rome
33,1280,Culture,7,Tempéré,New York
47,3636,Aventure,9,Tempéré,New York
18,1498,Plage,11,Chaud,Rome
30,1871,Plage,7,Froid,Rio de Janeiro
32,2681,Culture,4,Chaud,Paris
49,3321,Megalopole,7,Chaud,Dubai
29,2994,Ile,5,Tempéré,Bora Bora
40,1740,Megalopole,7,Froid,Amsterdam
30,1991,Plage,6,Froid,Londres
18,1474,Nature,4,Froid,Amazonie
55,3676,Culture,11,Froid,Londres
38,1294,Culture,4,Tempéré,Amazonie
32,1798,Nature,3,Froid,Amazonie
39,3130,Historique,5,Tempéré,Tokyo
34,500,Ile,5,Tempéré,Amazonie
50,2846,Nature,5,Tempéré,Le Cap
38,2504,Nature,3,Tempéré,Vancouver
45,3745,Ile,6,Chaud,Dubai
29,1066,Megalopole,23,Tempéré,Buenos Aires
31,1099,Plage,4,Chaud,Zanzibar
48,3304,Historique,5,Tempéré,Buenos Aires
36,1050,Plage,5,Tempéré,Zanzibar
44,2129,Plage,4,Chaud,Rio de Janeiro
27,1939,Nature,7,Tempéré,Le Cap
18,1456,Plage,4,Chaud,Cancun
22,2551,Megalopole,9,Chaud,Rome
39,2654,Historique,6,Froid,Paris
46,4400,Ile,3,Chaud,Zanzibar
25,1901,Aventure,3,Chaud,Machu Picchu
53,4996,Historique,9,Froid,Kyoto
41,2408,Megalopole,11,Chaud,Iles Galapagos
38,3048,Historique,7,Tempéré,Cancun
56,3931,Historique,6,Tempéré,New York
36,2006,Culture,4,Tempéré,New York
55,2014,Aventure,6,Chaud,Machu Picchu
38,4712,Historique,8,Tempéré,Rio de Janeiro
25,1419,Nature,11,Chaud,Cancun
58,1733,Culture,7,Tempéré,Buenos Aires
37,2258,Nature,11,Froid,Londres
35,3389,Historique,7,Froid,Machu Picchu
37,1356,Nature,8,Chaud,Amazonie
31,1544,Culture,4,Tempéré,Kyoto
57,4087,Historique,14,Froid,Kyoto
54,650,Megalopole,10,Tempéré,Buenos Aires
57,1287,Aventure,7,Froid,Amazonie
30,3523,Culture,8,Tempéré,Paris
26,1869,Megalopole,3,Chaud,Barcelone
39,2004,Culture,13,Froid,Queenstown
51,3303,Historique,13,Chaud,Le Cap
23,2458,Culture,11,Tempéré,Kyoto
32,1628,Culture,9,Tempéré,Paris
50,2120,Megalopole,5,Chaud,Patagonie
44,2986,Aventure,9,Chaud,Rio de Janeiro
28,2505,Culture,7,Froid,Amsterdam
27,2693,Culture,4,Froid,Rome
59,2283,Historique,8,Froid,Kyoto
62,2645,Historique,7,Tempéré,Machu Picchu
39,1922,Nature,4,Tempéré,Le Caire
42,3305,Historique,5,Froid,Prague
50,2203,Culture,11,Froid,Patagonie
46,5426,Ile,10,Chaud,Iles Galapagos
38,3855,Culture,9,Chaud,Paris
32,1552,Culture,3,Froid,Zanzibar
33,1750,Culture,3,Tempéré,Londres
31,2411,Plage,4,Chaud,Cancun
23,982,Megalopole,12,Chaud,Marrakech
44,2727,Ile,5,Tempéré,Bali
43,1709,Nature,8,Froid,Amazonie
45,2660,Nature,6,Tempéré,Tokyo
49,3144,Megalopole,11,Tempéré,Bangkok
26,1891,Aventure,11,Tempéré,Buenos Aires
52,1844,Plage,15,Tempéré,Vancouver
41,1796,Ile,5,Tempéré,Bora Bora
44,3799,Plage,4,Chaud,Le Cap
26,1001,Historique,7,Froid,Prague
24,1585,Nature,6,Froid,Le Cap
37,1591,Aventure,9,Tempéré,Santorin
25,1438,Megalopole,19,Tempéré,Prague
59,5144,Culture,13,Tempéré,Marrakech
57,1380,Ile,6,Chaud,Bangkok
42,2836,Megalopole,6,Froid,New York
45,2723,Culture,7,Tempéré,Tokyo
35,1818,Historique,5,Chaud,Le Cap
29,928,Plage,5,Chaud,Barcelone
43,2742,Aventure,11,Chaud,Bangkok
59,4895,Historique,7,Tempéré,New York
48,3276,Aventure,5,Froid,Queenstown
68,1842,Nature,7,Tempéré,Rio de Janeiro
45,3871,Ile,9,Tempéré,Bora Bora
27,1870,Nature,11,Tempéré,Barcelone
48,3191,Aventure,5,Chaud,Rio de Janeiro
40,1933,Aventure,4,Chaud,Bora Bora
53,3516,Historique,9,Tempéré,Le Caire
23,1422,Culture,21,Tempéré,Buenos Aires
18,771,Nature,4,Chaud,Vancouver
27,1915,Ile,4,Chaud,Zanzibar
48,3812,Nature,5,Tempéré,Sydney
35,4021,Culture,6,Tempéré,Dubai
35,1047,Aventure,5,Chaud,Le Caire
26,2596,Nature,11,Froid,Vancouver
25,975,Culture,9,Tempéré,Amsterdam
53,5035,Nature,7,Froid,Vancouver
36,2208,Nature,16,Tempéré,Vancouver
34,2016,Aventure,13,Froid,Bali
23,1141,Culture,7,Froid,Londres
29,2518,Aventure,10,Froid,Queenstown
18,1438,Culture,4,Chaud,Iles Galapagos
50,500,Culture,5,Chaud,Paris
43,2815,Historique,15,Froid,Prague
29,2245,Aventure,14,Froid,Queenstown
36,500,Ile,15,Froid,Zanzibar
45,3473,Nature,10,Chaud,Vancouver
36,2307,Culture,8,Chaud,Marrakech
53,1293,Nature,11,Froid,Rome
46,757,Historique,3,Tempéré,Los Angeles
34,1784,Aventure,6,Chaud,Santorin
25,500,Megalopole,3,Chaud,Rio de Janeiro
33,2743,Culture,5,Froid,Marrakech
36,1851,Megalopole,13,Tempéré,Barcelone
21,1198,Plage,8,Froid,Rio de Janeiro
56,2786,Historique,4,Chaud,Rome
47,3565,Aventure,14,Tempéré,Zanzibar
31,1922,Megalopole,6,Chaud,Bangkok
58,5733,Aventure,8,Froid,Kyoto
55,3756,Megalopole,14,Froid,New York
29,3451,Megalopole,3,Froid,Dubai
37,2698,Culture,7,Tempéré,Buenos Aires
28,1559,Megalopole,11,Tempéré,Machu Picchu
28,2336,Plage,5,Froid,Barcelone
52,3405,Ile,8,Froid,Cancun
19,1476,Megalopole,4,Tempéré,Vancouver
49,3038,Nature,6,Tempéré,Londres
42,2200,Ile,6,Tempéré,Le Cap
28,1991,Megalopole,7,Tempéré,Tokyo
50,3585,Plage,6,Froid,Kyoto
53,1476,Megalopole,7,Froid,Cancun
47,1334,Culture,14,Tempéré,Cancun
55,2118,Aventure,10,Tempéré,Le Caire
44,3605,Historique,7,Chaud,Iles Galapagos
63,2722,Megalopole,8,Froid,Queenstown
46,2866,Ile,6,Tempéré,Prague
25,1493,Culture,4,Froid,Machu Picchu
43,2176,Historique,5,Chaud,Rome
26,2555,Ile,3,Tempéré,Santorin
18,2240,Aventure,11,Chaud,Patagonie
64,3298,Nature,5,Tempéré,Tokyo
43,2395,Ile,10,Chaud,Bora Bora
40,2197,Nature,14,Froid,Los Angeles
25,2253,Nature,6,Tempéré,Amazonie
18,900,Megalopole,5,Tempéré,Prague
51,2361,Historique,9,Tempéré,Los Angeles
39,2376,Aventure,8,Chaud,Le Cap
38,2184,Culture,3,Froid,Queenstown
18,618,Historique,12,Chaud,Kyoto
40,2182,Nature,10,Tempéré,Bangkok
43,2471,Aventure,11,Froid,Patagonie
55,2764,Historique,6,Chaud,Rio de Janeiro
37,3155,Megalopole,3,Tempéré,New York
26,1620,Historique,8,Tempéré,Le Caire
41,1404,Historique,14,Chaud,Bali
43,1258,Aventure,10,Tempéré,Patagonie
31,3187,Nature,8,Chaud,Buenos Aires
42,3205,Aventure,8,Froid,Patagonie
29,1441,Nature,16,Chaud,Le Cap
37,2405,Nature,4,Chaud,Amazonie
35,2670,Megalopole,5,Froid,New York
47,3274,Aventure,8,Tempéré,Queenstown
29,1494,Aventure,6,Froid,Rio de Janeiro
32,1796,Historique,11,Tempéré,Le Caire
36,1579,Plage,10,Chaud,Zanzibar
37,3213,Nature,4,Chaud,Le Cap
22,1752,Historique,11,Froid,Bali
38,1475,Ile,5,Froid,Vancouver
48,4135,Megalopole,3,Froid,Prague
57,4234,Aventure,3,Froid,Vancouver
36,2123,Historique,8,Tempéré,Paris
65,5101,Ile,10,Chaud,Zanzibar
41,3083,Culture,4,Chaud,Cancun
31,1716,Plage,25,Chaud,Prague
40,1572,Nature,16,Chaud,Le Cap
34,2167,Culture,6,Tempéré,Kyoto
48,1010,Ile,3,Froid,Santorin
49,3588,Aventure,6,Chaud,Londres
36,2145,Historique,9,Chaud,Bali
20,1088,Historique,9,Tempéré,Barcelone
20,1795,Culture,4,Chaud,Le Caire
27,1949,Plage,6,Tempéré,Bangkok
37,500,Megalopole,7,Froid,Londres
45,500,Plage,12,Chaud,Cancun
44,915,Nature,5,Chaud,Iles Galapagos
31,2443,Historique,6,Chaud,Iles Galapagos
40,1339,Nature,9,Chaud,Buenos Aires
31,2994,Plage,8,Froid,Amsterdam
30,1965,Megalopole,3,Chaud,New York
60,3528,Megalopole,5,Froid,Londres
44,1224,Ile,3,Chaud,Bangkok
27,1235,Culture,6,Chaud,Santorin
30,1833,Nature,4,Tempéré,New York
54,6031,Aventure,4,Chaud,Iles Galapagos
23,1288,Ile,10,Froid,Machu Picchu
54,3128,Ile,6,Chaud,Zanzibar
24,1869,Aventure,4,Tempéré,Paris
63,2413,Megalopole,5,Chaud,Queenstown
27,2094,Plage,11,Tempéré,Cancun
44,4247,Historique,4,Froid,Le Caire
47,4764,Megalopole,29,Chaud,Kyoto
53,2114,Ile,9,Tempéré,Kyoto
34,3625,Historique,11,Tempéré,Rome
49,1342,Ile,11,Froid,Dubai
34,1609,Megalopole,6,Froid,Zanzibar
28,2910,Ile,10,Chaud,Santorin
43,1708,Nature,6,Chaud,Bali
39,2688,Nature,5,Chaud,Iles Galapagos
23,500,Historique,17,Tempéré,Le Caire
26,2336,Plage,8,Tempéré,Londres
30,1306,Culture,9,Chaud,Bangkok
24,1131,Megalopole,7,Chaud,Bali
47,2057,Culture,13,Tempéré,Buenos Aires
47,5237,Plage,7,Chaud,Rome
48,500,Aventure,4,Froid,Barcelone
46,1973,Nature,4,Tempéré,Kyoto
32,2266,Culture,9,Froid,Paris
52,3134,Historique,7,Tempéré,Machu Picchu
61,8005,Aventure,5,Chaud,Rio de Janeiro
18,1337,Aventure,7,Froid,Patagonie
20,1870,Plage,9,Chaud,Los Angeles
54,4353,Megalopole,12,Froid,Queenstown
45,3460,Aventure,6,Froid,Rome
42,500,Culture,10,Chaud,Amsterdam
29,500,Ile,14,Tempéré,Iles Galapagos
55,2093,Ile,5,Froid,Patagonie
18,1003,Megalopole,3,Froid,Santorin
28,3275,Nature,3,Froid,Vancouver
34,938,Nature,19,Chaud,Amazonie
21,998,Historique,3,Tempéré,Kyoto
41,500,Ile,5,Tempéré,Kyoto
46,3506,Historique,8,Tempéré,Kyoto
28,2090,Megalopole,13,Froid,Los Angeles
40,500,Megalopole,9,Tempéré,Dubai
47,3317,Aventure,27,Chaud,Patagonie
42,4029,Culture,17,Chaud,Paris
28,1862,Aventure,7,Chaud,Le Cap
22,573,Megalopole,5,Chaud,Bora Bora
38,2927,Historique,9,Chaud,Iles Galapagos
38,1859,Nature,3,Chaud,Santorin
51,3014,Culture,6,Tempéré,Paris
19,1284,Historique,8,Tempéré,Le Caire
69,7109,Plage,10,Froid,Sydney
36,2381,Aventure,12,Chaud,Barcelone
27,2483,Nature,3,Froid,Prague
24,520,Megalopole,3,Froid,Kyoto
65,5548,Aventure,3,Tempéré,Queenstown
